Frequency,dB,pedal,Tone,Gain
18001.757812,-19.466239999999985,nobels odr-1,0%,0%,
18044.824219,-20.637294999999988,nobels odr-1,0%,0%,
18087.890625,-20.632984,nobels odr-1,0%,0%,
18130.957031,-20.35919599999999,nobels odr-1,0%,0%,
18174.023438,-20.202140999999997,nobels odr-1,0%,0%,
18217.089844,-19.35518599999999,nobels odr-1,0%,0%,
18260.15625,-20.775661999999997,nobels odr-1,0%,0%,
18303.222656,-21.138534999999997,nobels odr-1,0%,0%,
18346.289062,-21.362346999999993,nobels odr-1,0%,0%,
18389.355469,-19.663669999999996,nobels odr-1,0%,0%,
18432.421875,-18.913311,nobels odr-1,0%,0%,
18475.488281,-20.311748999999992,nobels odr-1,0%,0%,
18518.554688,-20.574059,nobels odr-1,0%,0%,
18561.621094,-21.069176,nobels odr-1,0%,0%,
18604.6875,-20.760787999999998,nobels odr-1,0%,0%,
18647.753906,-20.261489999999995,nobels odr-1,0%,0%,
18690.820312,-21.714484999999996,nobels odr-1,0%,0%,
18733.886719,-20.18402899999999,nobels odr-1,0%,0%,
18776.953125,-20.406596999999998,nobels odr-1,0%,0%,
18820.019531,-20.162800000000004,nobels odr-1,0%,0%,
18863.085938,-19.447154999999988,nobels odr-1,0%,0%,
18906.152344,-20.652919999999995,nobels odr-1,0%,0%,
18949.21875,-19.342335000000006,nobels odr-1,0%,0%,
18992.285156,-19.85179199999999,nobels odr-1,0%,0%,
19035.351562,-20.58348399999999,nobels odr-1,0%,0%,
19078.417969,-20.604029999999995,nobels odr-1,0%,0%,
19121.484375,-21.907492999999995,nobels odr-1,0%,0%,
19164.550781,-20.696757999999996,nobels odr-1,0%,0%,
19207.617188,-21.338416999999993,nobels odr-1,0%,0%,
19250.683594,-20.103786999999997,nobels odr-1,0%,0%,
19293.75,-19.00589399999999,nobels odr-1,0%,0%,
19336.816406,-20.79457899999999,nobels odr-1,0%,0%,
19379.882812,-20.980784999999997,nobels odr-1,0%,0%,
19422.949219,-21.60415299999999,nobels odr-1,0%,0%,
19466.015625,-21.843635999999996,nobels odr-1,0%,0%,
19509.082031,-22.045746,nobels odr-1,0%,0%,
19552.148438,-21.192505999999995,nobels odr-1,0%,0%,
19595.214844,-19.64585199999999,nobels odr-1,0%,0%,
19638.28125,-20.687679000000003,nobels odr-1,0%,0%,
19681.347656,-21.09145399999999,nobels odr-1,0%,0%,
19724.414062,-21.189373999999987,nobels odr-1,0%,0%,
19767.480469,-22.593407,nobels odr-1,0%,0%,
19810.546875,-20.303204,nobels odr-1,0%,0%,
19853.613281,-21.369235999999994,nobels odr-1,0%,0%,
19896.679688,-20.88999599999999,nobels odr-1,0%,0%,
19939.746094,-20.379948,nobels odr-1,0%,0%,
19982.8125,-21.178180999999995,nobels odr-1,0%,0%,
43.066406,-17.738341000000002,nobels odr-1,100%,0%,
86.132812,-15.756469000000003,nobels odr-1,100%,0%,
129.199219,-15.248432000000001,nobels odr-1,100%,0%,
172.265625,-15.183454000000001,nobels odr-1,100%,0%,
215.332031,-15.220947000000002,nobels odr-1,100%,0%,
258.398438,-14.169679000000002,nobels odr-1,100%,0%,
