Frequency,dB,pedal,Tone,Gain
1335.058594,-0.9774930000000026,morning glory,100%,0%,
1378.125,-1.499966999999998,morning glory,100%,0%,
1421.191406,-1.620981000000004,morning glory,100%,0%,
1464.257812,-1.622520999999999,morning glory,100%,0%,
1507.324219,-1.2191240000000008,morning glory,100%,0%,
1550.390625,-1.0505040000000037,morning glory,100%,0%,
1593.457031,-1.6021110000000043,morning glory,100%,0%,
1636.523438,-2.3512169999999983,morning glory,100%,0%,
1679.589844,-2.2851940000000006,morning glory,100%,0%,
1722.65625,-1.6588930000000026,morning glory,100%,0%,
1765.722656,-1.2792260000000013,morning glory,100%,0%,
1808.789062,-2.7901740000000004,morning glory,100%,0%,
1851.855469,-2.8282140000000027,morning glory,100%,0%,
1894.921875,-2.6097900000000003,morning glory,100%,0%,
1937.988281,-2.632476000000004,morning glory,100%,0%,
1981.054688,-2.218954,morning glory,100%,0%,
2024.121094,-1.8017000000000003,morning glory,100%,0%,
2067.1875,-2.2529670000000017,morning glory,100%,0%,
2110.253906,-2.585034000000004,morning glory,100%,0%,
2153.320312,-3.3538970000000035,morning glory,100%,0%,
2196.386719,-2.8003060000000026,morning glory,100%,0%,
2239.453125,-2.442336000000001,morning glory,100%,0%,
2282.519531,-2.5464550000000017,morning glory,100%,0%,
2325.585938,-3.1591020000000043,morning glory,100%,0%,
2368.652344,-3.2846290000000025,morning glory,100%,0%,
2411.71875,-3.265594,morning glory,100%,0%,
2454.785156,-3.3925620000000016,morning glory,100%,0%,
2497.851562,-3.2787870000000012,morning glory,100%,0%,
2540.917969,-2.983957,morning glory,100%,0%,
2583.984375,-3.3129750000000016,morning glory,100%,0%,
2627.050781,-4.0941860000000005,morning glory,100%,0%,
2670.117188,-3.4999420000000008,morning glory,100%,0%,
2713.183594,-3.580733000000002,morning glory,100%,0%,
2756.25,-3.0405710000000035,morning glory,100%,0%,
